hostname,role,app,env,loc,bu,type,ip,enforcement
vna-01,vna,imaging,prod,acme hospital,health,server,,selective
vna-02,vna,imaging,prod,acme hospital,health,server,,selective
img-jump-01,jumpbox,imaging,prod,acme hospital,health,server,,selective
pacs-01,pacs,imaging,prod,acme hospital,health,server,,selective
pacs-02,pacs,imaging,prod,acme hospital,health,server,,selective
acd-dc01-prd,dc,ad,prod,ca,it,server,,selective
acd-dc03-prd,dc,ad,prod,ny,it,server,,selective
acd-dc04-prd,dc,ad,prod,ny,it,server,,selective
acd-dc02-prd,dc,ad,prod,ca,it,server,,selective
ast-db02-prd,db,assetmgmt,prod,ca,commerce,server,,selective
ast-db01-prd,db,assetmgmt,prod,ca,commerce,server,,selective
ast-proc02-prd,processing,assetmgmt,prod,ca,commerce,server,,selective
ast-proc01-prd,processing,assetmgmt,prod,ca,commerce,server,,selective
ast-web02-prd,web,assetmgmt,prod,ca,commerce,server,,selective
ast-web01-prd,web,assetmgmt,prod,ca,commerce,server,,selective
ast-web03-prd,web,assetmgmt,prod,ca,commerce,server,,selective
cat-db02-prd,db,catalog,prod,aws,commerce,server,,selective
cat-db01-prd,db,catalog,prod,aws,commerce,server,,selective
cat-proc02-prd,processing,catalog,prod,aws,commerce,server,,selective
cat-proc01-prd,processing,catalog,prod,aws,commerce,server,,selective
cat-proc03-prd,processing,catalog,prod,aws,commerce,server,,selective
cat-web01-prd,web,catalog,prod,aws,commerce,server,,selective
cat-web02-prd,web,catalog,prod,aws,commerce,server,,selective
ecm-db01-prd,db,shareddb,prod,ca,commerce,server,,selective
ecm-db02-prd,db,shareddb,prod,ca,commerce,server,,selective
ecm-proc03-prd,processing,ecomm,prod,azure,commerce,server,,selective
ecm-proc02-prd,processing,ecomm,prod,azure,commerce,server,,selective
ecm-proc01-prd,processing,ecomm,prod,azure,commerce,server,,selective
ecm-web01-prd,web,ecomm,prod,azure,commerce,server,,selective
ecm-web03-prd,web,ecomm,prod,azure,commerce,server,,selective
ecm-web04-prd,web,ecomm,prod,azure,commerce,server,,selective
ecm-web05-prd,web,ecomm,prod,azure,commerce,server,,selective
ecm-web06-prd,web,ecomm,prod,azure,commerce,server,,selective
ecm-web02-prd,web,ecomm,prod,azure,commerce,server,,selective
exc-et01-prd,edgetransport,exchange,prod,ny,it,server,,selective
exc-et02-prd,edgetransport,exchange,prod,ny,it,server,,selective
exc-mail01-prd,mailserver,exchange,prod,ny,it,server,,selective
exc-mail02-prd,mailserver,exchange,prod,ny,it,server,,selective
hrm-db01-prd,db,hrm,prod,ca,hr,server,,selective
hrm-db02-prd,db,hrm,prod,ca,hr,server,,selective
hrm-web02-prd,web,hrm,prod,ca,hr,server,,selective
hrm-web01-prd,web,hrm,prod,ca,hr,server,,selective
hrm-web03-prd,web,hrm,prod,ca,hr,server,,selective
inf-nagios02-prd,nagios,monitoring,prod,ny,it,server,,selective
inf-nagios01-prd,nagios,monitoring,prod,ca,it,server,,selective
inf-syslog01-prd,syslog,soc,prod,ca,it,server,,selective
inf-syslog02-prd,syslog,soc,prod,ny,it,server,,selective
inf-time02-prd,time,infra-mgmt,prod,ny,it,server,,selective
inf-time01-prd,time,infra-mgmt,prod,ca,it,server,,selective
ord-db02-dev,db,ordering,dev,ca,commerce,server,,selective
ord-db01-dev,db,ordering,dev,ca,commerce,server,,selective
ord-lb02-dev,loadbalancer,ordering,dev,ca,commerce,server,,selective
ord-lb01-dev,loadbalancer,ordering,dev,ca,commerce,server,,selective
ord-proc02-dev,processing,ordering,dev,ca,commerce,server,,selective
ord-proc01-dev,processing,ordering,dev,ca,commerce,server,,selective
ord-web02-dev,web,ordering,dev,ca,commerce,server,,selective
ord-web03-dev,web,ordering,dev,ca,commerce,server,,selective
ord-web01-dev,web,ordering,dev,ca,commerce,server,,selective
ord-db01-prd,db,ordering,prod,ca,commerce,server,,selective
ord-db02-prd,db,ordering,prod,ca,commerce,server,,selective
ord-db03-prd,db,ordering,prod,ldn,commerce,server,,selective
ord-db04-prd,db,ordering,prod,ldn,commerce,server,,selective
ord-db05-prd,db,ordering,prod,syd,commerce,server,,selective
ord-db06-prd,db,ordering,prod,syd,commerce,server,,selective
ord-lb01-prd,loadbalancer,ordering,prod,ca,commerce,server,,selective
ord-lb02-prd,loadbalancer,ordering,prod,ca,commerce,server,,selective
ord-proc01-prd,processing,ordering,prod,ca,commerce,server,,selective
ord-proc02-prd,processing,ordering,prod,ca,commerce,server,,selective
ord-proc03-prd,processing,ordering,prod,ldn,commerce,server,,selective
ord-proc04-prd,processing,ordering,prod,ldn,commerce,server,,selective
ord-proc05-prd,processing,ordering,prod,ldn,commerce,server,,selective
ord-proc06-prd,processing,ordering,prod,syd,commerce,server,,selective
ord-proc07-prd,processing,ordering,prod,syd,commerce,server,,selective
ord-proc08-prd,processing,ordering,prod,syd,commerce,server,,selective
ord-web01-prd,web,ordering,prod,ca,commerce,server,,selective
ord-web02-prd,web,ordering,prod,ca,commerce,server,,selective
ord-web03-prd,web,ordering,prod,ca,commerce,server,,selective
ord-web04-prd,web,ordering,prod,syd,commerce,server,,selective
ord-web05-prd,web,ordering,prod,ldn,commerce,server,,selective
ord-web06-prd,web,ordering,prod,ldn,commerce,server,,selective
ord-web07-prd,web,ordering,prod,syd,commerce,server,,selective
pay-db01-prd,db,payment,prod,ldn,banking,server,,selective
pay-db02-prd,db,payment,prod,ldn,banking,server,,selective
pay-db03-prd,db,payment,prod,syd,banking,server,,selective
pay-db04-prd,db,payment,prod,syd,banking,server,,selective
pay-proc01-prd,processing,payment,prod,ldn,banking,server,,selective
pay-proc02-prd,processing,payment,prod,syd,banking,server,,selective
pay-proc03-prd,processing,payment,prod,ldn,banking,server,,selective
pay-proc04-prd,processing,payment,prod,syd,banking,server,,selective
pay-proc05-prd,processing,payment,prod,syd,banking,server,,selective
pay-web01-prd,web,payment,prod,syd,banking,server,,selective
pay-web02-prd,web,payment,prod,syd,banking,server,,selective
pay-web03-prd,web,payment,prod,ldn,banking,server,,selective
pay-web04-prd,web,payment,prod,ldn,banking,server,,selective
pay-web05-prd,web,payment,prod,ldn,banking,server,,selective
pos-db01-pci,db,pos,pci,ny,banking,server,,selective
pos-db02-pci,db,pos,pci,ca,banking,server,,selective
pos-db03-pci,db,pos,pci,ny,banking,server,,selective
pos-db04-pci,db,pos,pci,ca,banking,server,,selective
pos-proc01-pci,processing,pos,pci,ny,banking,server,,selective
pos-proc02-pci,processing,pos,pci,ca,banking,server,,selective
pos-proc03-pci,processing,pos,pci,ca,banking,server,,selective
pos-proc04-pci,processing,pos,pci,ny,banking,server,,selective
pos-proc05-pci,processing,pos,pci,ny,banking,server,,selective
pos-proc06-pci,processing,pos,pci,ca,banking,server,,selective
pos-web01-pci,web,pos,pci,ny,banking,server,,selective
pos-web02-pci,web,pos,pci,ca,banking,server,,selective
pos-web03-pci,web,pos,pci,ca,banking,server,,selective
pos-web04-pci,web,pos,pci,ny,banking,server,,selective
pos-db01-stg,db,pos,staging,ldn,banking,server,,selective
pos-db02-stg,db,pos,staging,ca,banking,server,,selective
pos-db03-stg,db,pos,staging,ca,banking,server,,selective
pos-db04-stg,db,pos,staging,syd,banking,server,,selective
pos-db05-stg,db,pos,staging,syd,banking,server,,selective
pos-db06-stg,db,pos,staging,ldn,banking,server,,selective
pos-proc01-stg,processing,pos,staging,syd,banking,server,,selective
pos-proc02-stg,processing,pos,staging,ldn,banking,server,,selective
pos-proc03-stg,processing,pos,staging,syd,banking,server,,selective
pos-proc04-stg,processing,pos,staging,syd,banking,server,,selective
pos-proc05-stg,processing,pos,staging,ca,banking,server,,selective
pos-proc06-stg,processing,pos,staging,ca,banking,server,,selective
pos-proc07-stg,processing,pos,staging,ca,banking,server,,selective
pos-proc08-stg,processing,pos,staging,ldn,banking,server,,selective
pos-proc09-stg,processing,pos,staging,ldn,banking,server,,selective
pos-web01-stg,web,pos,staging,ldn,banking,server,,selective
pos-web02-stg,web,pos,staging,syd,banking,server,,selective
pos-web03-stg,web,pos,staging,syd,banking,server,,selective
pos-web04-stg,web,pos,staging,ca,banking,server,,selective
pos-web05-stg,web,pos,staging,ca,banking,server,,selective
pos-web06-stg,web,pos,staging,ldn,banking,server,,selective
prc-db02-prd,db,procurement,prod,ca,it,server,,selective
prc-db01-prd,db,procurement,prod,ca,it,server,,selective
prc-proc01-prd,processing,procurement,prod,ca,it,server,,selective
prc-proc02-prd,processing,procurement,prod,ca,it,server,,selective
prc-web01-prd,web,procurement,prod,ca,it,server,,selective
prc-web03-prd,web,procurement,prod,ca,it,server,,selective
prc-web02-prd,web,procurement,prod,ca,it,server,,selective
shc-db01-prd,db,shareddb,prod,ca,commerce,server,,selective
shc-db02-prd,db,shareddb,prod,ca,commerce,server,,selective
shc-proc01-prd,processing,cart,prod,aws,commerce,server,,selective
shc-proc02-prd,processing,cart,prod,aws,commerce,server,,selective
shc-proc03-prd,processing,cart,prod,aws,commerce,server,,selective
shc-web01-prd,web,cart,prod,aws,commerce,server,,selective
shc-web02-prd,web,cart,prod,aws,commerce,server,,selective
swf-gw03-prd,gateway,swift,prod,ldn,banking,server,,selective
swf-gw04-prd,gateway,swift,prod,ldn,banking,server,,selective
swf-gw02-prd,gateway,swift,prod,ny,banking,server,,selective
swf-gw01-prd,gateway,swift,prod,ny,banking,server,,selective
swf-web08-prd,web,swift,prod,ldn,banking,server,,selective
swf-web04-prd,web,swift,prod,ldn,banking,server,,selective
